id,nombre,tipo1,tipo2,ps,ataque,defensa,ataqueSP,defensaSP,velocidad
85,Seel,Agua,,151,76,86,76,101,76
86,Dewgong,Agua,Hielo,176,101,111,101,126,101
87,Grimer,Veneno,,166,111,81,71,81,56
88,Muk,Veneno,,191,136,106,96,131,81
89,Shellder,Agua,,116,96,131,76,56,71
90,Cloyster,Agua,Hielo,136,126,211,116,76,101
91,Gastly,Fantasma,Veneno,116,66,61,131,66,111
92,Haunter,Fantasma,Veneno,131,81,76,146,86,126
93,Gengar,Fantasma,Veneno,146,96,91,161,106,141
94,Onix,Roca,Tierra,121,76,191,61,76,101
95,Drowzee,Psiquico,,146,79,76,74,121,73
96,Hypno,Psiquico,,171,104,101,104,146,98
97,Krabby,Agua,,116,136,121,56,56,81
98,Kingler,Agua,,141,161,146,81,81,106
99,Voltorb,Electrico,,126,61,81,86,86,131
100,Electrode,Electrico,,146,81,101,111,111,181
101,Exeggcute,Planta,Psiquico,146,71,111,91,76,71
102,Exeggutor,Planta,Psiquico,181,126,116,156,106,86
103,Cubone,Tierra,,136,81,126,71,81,66
104,Marowak,Tierra,,146,111,141,81,111,76
105,Hitmonlee,Lucha,,136,151,84,66,141,118
106,Hitmonchan,Lucha,,136,136,110,66,141,107
107,Lickitung,Normal,,176,86,106,91,106,61
108,Koffing,Veneno,,126,96,126,91,76,66
109,Weezing,Veneno,,151,121,151,116,101,91
110,Rhyhorn,Tierra,Roca,166,116,126,61,61,56
111,Rhydon,Tierra,Roca,191,161,151,76,76,71
112,Chansey,Normal,,336,36,36,66,136,81
113,Tangela,Planta,,151,86,146,131,71,91
114,Kangaskhan,Normal,,191,126,111,71,111,121
115,Horsea,Agua,,116,71,101,101,56,91
116,Seadra,Agua,,141,96,126,126,76,116
117,Goldeen,Agua,,131,98,91,66,81,94
118,Seaking,Agua,,166,123,96,96,111,99
119,Staryu,Agua,,116,76,86,101,86,116
120,Starmie,Agua,Psiquico,146,106,116,131,116,146
121,Mr. Mime,Psiquico,Hada,126,76,96,131,151,121
122,Scyther,Bicho,Volador,156,141,111,86,111,136
123,Jynx,Hielo,Psiquico,151,81,66,146,126,126
124,Electabuzz,Electrico,,151,114,88,126,116,136
125,Magmar,Fuego,,151,126,88,131,116,124
126,Pinsir,Bicho,,151,156,131,86,101,116
127,Tauros,Normal,,161,131,126,71,101,141
128,Magikarp,Agua,,106,41,86,46,51,111
129,Gyarados,Agua,Volador,181,156,110,91,131,112
130,Lapras,Agua,Hielo,216,116,111,116,126,91
131,Ditto,Normal,,134,79,79,79,79,79
132,Eevee,Normal,,141,86,81,76,96,86
133,Vaporeon,Agua,,216,96,91,141,126,96
134,Jolteon,Electrico,,151,96,91,141,126,161
135,Flareon,Fuego,,151,161,91,126,141,96
136,Porygon,Normal,,151,91,101,116,106,71
137,Omanyte,Roca,Agua,121,71,131,121,86,66
138,Omastar,Roca,Agua,156,91,156,146,101,86
139,Kabuto,Roca,Agua,116,111,121,86,76,86
140,Kabutops,Roca,Agua,146,146,136,96,101,111
141,Aerodactyl,Roca,Volador,166,136,96,91,106,161
142,Snorlax,Normal,,246,141,96,96,141,61
143,Articuno,Hielo,Volador,176,116,131,126,156,116
144,Zapdos,Electrico,Volador,176,121,116,156,121,131
145,Moltres,Fuego,Volador,176,131,121,156,116,121
146,Dratini,Dragon,,127,95,76,81,81,81
147,Dragonair,Dragon,,147,115,96,101,101,101
148,Dragonite,Dragon,Volador,177,165,126,131,131,111
149,Mewtwo,Psiquico,,192,141,121,185,121,161
150,Mew,Psiquico,,186,131,131,131,131,131
